n_true,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
1,705,0.4484,0.1447,0.1319,0.0028,1.3773,0.1348
2,853,0.5826,0.2532,0.0258,0.0000,0.8945,0.4865
3,528,0.5889,0.1856,0.0303,0.0000,0.6610,0.9811
4,202,0.4672,0.0198,0.0198,0.0000,0.6238,1.9010
5,61,0.4842,0.0000,0.0000,0.0000,0.2295,2.4918
6,12,0.3889,0.0000,0.0000,0.0000,0.0000,3.6667
7,4,0.2857,0.0000,0.0000,0.0000,0.0000,5.0000
