description_word_count,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
<20,229,0.5540,0.2009,0.0655,0.0000,0.8996,0.6725
20-29,475,0.5495,0.1979,0.0589,0.0000,0.9705,0.5242
30-39,809,0.5463,0.1607,0.0433,0.0000,0.9988,0.5587
40-49,667,0.5728,0.1889,0.0255,0.0000,0.9685,0.5727
50+,185,0.4602,0.1297,0.0865,0.0000,1.3459,0.6054
