genre,support,tp,fp,fn,tn,precision,recall,f1,false_negative_rate,false_positive_rate
Casual,1084,955,735,129,546,0.5651,0.8810,0.6885,0.1190,0.5738
Action,1078,932,498,146,789,0.6517,0.8646,0.7432,0.1354,0.3869
Adventure,967,768,410,199,988,0.6520,0.7942,0.7161,0.2058,0.2933
Simulation,624,402,237,222,1504,0.6291,0.6442,0.6366,0.3558,0.1361
Strategy,560,281,158,279,1647,0.6401,0.5018,0.5626,0.4982,0.0875
RPG,484,244,168,240,1713,0.5922,0.5041,0.5446,0.4959,0.0893
Sports,210,133,84,77,2071,0.6129,0.6333,0.6230,0.3667,0.0390
Racing,201,144,80,57,2084,0.6429,0.7164,0.6776,0.2836,0.0370
