description_word_count,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
<20,229,0.4472,0.0786,0.0524,0.0000,1.6943,0.5895
20-29,475,0.4226,0.0611,0.0884,0.0000,1.7726,0.5368
30-39,809,0.4147,0.0569,0.0816,0.0000,1.8319,0.6230
40-49,667,0.4546,0.0660,0.0660,0.0000,1.6282,0.6327
50+,185,0.3710,0.0649,0.1135,0.0000,2.0595,0.5892
