brightness,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
"(0.00212, 0.252]",509,0.4313,0.0688,0.0884,0.0000,1.6601,0.5914
"(0.252, 0.499]",635,0.4331,0.0551,0.0551,0.0000,1.8047,0.6000
"(0.499, 0.747]",287,0.4405,0.0697,0.0662,0.0000,1.7561,0.5749
"(0.747, 0.994]",69,0.4300,0.1449,0.1449,0.0000,1.5217,0.5217
