genre,support,tp,fp,fn,tn,precision,recall,f1,false_negative_rate,false_positive_rate
Casual,1084,944,906,140,375,0.5103,0.8708,0.6435,0.1292,0.7073
Action,1078,970,890,108,397,0.5215,0.8998,0.6603,0.1002,0.6915
Adventure,967,885,1016,82,382,0.4655,0.9152,0.6172,0.0848,0.7268
Simulation,624,378,511,246,1230,0.4252,0.6058,0.4997,0.3942,0.2935
Strategy,560,273,363,287,1442,0.4292,0.4875,0.4565,0.5125,0.2011
RPG,484,214,383,270,1498,0.3585,0.4421,0.3959,0.5579,0.2036
Sports,210,44,39,166,2116,0.5301,0.2095,0.3003,0.7905,0.0181
Racing,201,75,71,126,2093,0.5137,0.3731,0.4323,0.6269,0.0328
