n_true,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
1,705,0.4358,0.1191,0.1064,0.0000,1.4766,0.1064
2,853,0.6013,0.2497,0.0258,0.0000,0.9543,0.3951
3,528,0.6195,0.2027,0.0208,0.0000,0.6989,0.8258
4,202,0.5301,0.0693,0.0149,0.0000,0.6040,1.6386
5,61,0.5673,0.0328,0.0000,0.0000,0.3934,1.9672
6,12,0.5556,0.0000,0.0000,0.0000,0.0000,2.6667
7,4,0.3571,0.0000,0.0000,0.0000,0.0000,4.5000
