brightness,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
"(0.00212, 0.252]",509,0.5306,0.1906,0.0629,0.0000,0.9214,0.6267
"(0.252, 0.499]",635,0.5333,0.1732,0.0441,0.0016,0.9008,0.7528
"(0.499, 0.747]",287,0.5418,0.2056,0.0557,0.0000,1.0000,0.6760
"(0.747, 0.994]",69,0.5647,0.2754,0.0725,0.0145,0.9420,0.4928
