brightness,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
"(0.00212, 0.252]",509,0.5447,0.1847,0.0511,0.0000,0.9843,0.5422
"(0.252, 0.499]",635,0.5487,0.1780,0.0315,0.0000,1.0268,0.6110
"(0.499, 0.747]",287,0.5693,0.2021,0.0418,0.0000,1.0035,0.5470
"(0.747, 0.994]",69,0.5744,0.2609,0.1159,0.0000,0.7246,0.5217
