genre,support,tp,fp,fn,tn,precision,recall,f1,false_negative_rate,false_positive_rate
Casual,1084,817,506,267,775,0.6175,0.7537,0.6789,0.2463,0.3950
Action,1078,910,555,168,732,0.6212,0.8442,0.7157,0.1558,0.4312
Adventure,967,818,580,149,818,0.5851,0.8459,0.6918,0.1541,0.4149
Simulation,624,335,214,289,1527,0.6102,0.5369,0.5712,0.4631,0.1229
Strategy,560,216,111,344,1694,0.6606,0.3857,0.4870,0.6143,0.0615
RPG,484,256,168,228,1713,0.6038,0.5289,0.5639,0.4711,0.0893
Sports,210,100,45,110,2110,0.6897,0.4762,0.5634,0.5238,0.0209
Racing,201,128,44,73,2120,0.7442,0.6368,0.6863,0.3632,0.0203
