description_word_count,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
<20,229,0.5269,0.1528,0.0699,0.0000,0.8821,0.7336
20-29,475,0.5286,0.1958,0.0800,0.0000,0.9600,0.6421
30-39,809,0.5382,0.1879,0.0420,0.0025,0.9295,0.6675
40-49,667,0.5510,0.1829,0.0315,0.0000,0.8756,0.7211
50+,185,0.4274,0.0973,0.1405,0.0000,1.2378,0.7243
