n_true,n,mean_jaccard,exact_rate,wrong_rate,empty_rate,mean_fp,mean_fn
1,705,0.2744,0.0099,0.1645,0.0000,2.4270,0.1645
2,853,0.4453,0.0680,0.0645,0.0000,1.8300,0.4725
3,528,0.5350,0.1288,0.0227,0.0000,1.2822,0.8826
4,202,0.5595,0.0792,0.0099,0.0000,0.9257,1.3614
5,61,0.5347,0.0000,0.0000,0.0000,0.6885,2.0000
6,12,0.5754,0.0000,0.0000,0.0000,0.0833,2.5000
7,4,0.5357,0.0000,0.0000,0.0000,0.0000,3.2500
